contrast	numerator	denominator	comparison	time
C_72h_vs_C_0h	WP1_C_72h	WP1_C_0h	C 72h vs C 0h	72h
CA_72h_vs_C_0h	WP1_CA_72h	WP1_C_0h	CA 72h vs C 0h	72h
CA_vs_C_72h	WP1_CA_72h	WP1_C_72h	CA vs C	72h
